ID,Data,Preço unitário,Quantidade vendida,Valor total vendido,Custo do produto
aca2eb7d00ea1a7b8ebd4e68314663af,2017-08-03,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-08-04,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-08-08,75.0,5,375.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-08-09,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-08-11,75.0,8,600.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-08-13,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-10-16,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-10-20,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-08,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-09,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-20,75.0,6,450.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-21,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-22,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-23,75.0,3,225.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-24,75.0,15,1125.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-27,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-28,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-29,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-11-30,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-05,75.0,4,300.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-06,75.0,3,225.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-07,75.0,3,225.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-08,75.0,7,525.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-11,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-12,75.0,3,225.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-13,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-15,75.0,6,450.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-19,75.0,6,450.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-20,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-21,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2017-12-22,75.0,5,375.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-02,75.0,4,300.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-03,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-04,75.0,5,375.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-08,75.0,3,225.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-09,75.0,2,150.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-10,75.0,1,75.0,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-11,69.9,12,838.8000000000001,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-12,69.9,24,1677.6000000000001,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-14,69.9,1,69.9,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-15,69.9,6,419.40000000000003,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-16,69.9,6,419.40000000000003,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-17,69.9,7,489.30000000000007,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-18,69.9,4,279.6,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-19,69.9,16,1118.4,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-21,69.9,1,69.9,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-22,69.9,2,139.8,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-23,69.9,5,349.5,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-24,69.9,6,419.40000000000003,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-25,69.9,7,489.30000000000007,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-26,69.9,4,279.6,42.82
aca2eb7d00ea1a7b8ebd4e68314663af,2018-01-29,69.9,9,629.1,42.82
